sentence,verb lemma,w0,interpretation,object,qualia,,,,,,,,,,
"23-åringen startet med vann og kake, fortsatte festen med kortspill før verdensmesteren trakk seg tilbake til suiten.",starte,med,eat/drink,food,telic,,,,,,,,,,
"Lavoisier starter med varme, som han trodde var et grunnstoff.",starte,med,write,about heat,agentive,,,,,,,,,,
"Bordvenninnen starter med vårrull, og etter diskusjon med servitøren lander hun på glassnudler med scampi, blekksprut og kylling.",starte,med,eat,food,telic,,,,,,,,,,
"Oscar- og Gullpalme-vinneren startet med vin allerede i 1975, da han sammen med kona Eleanor kjøpte eiendommen Inglenook Estate på hele 630 hektar.",starte,med,produce,wine,agentive,,,,,,,,,,
Vi startet på et internt husprosjekt i samarbeid med Statsbygg ved utgangen av 2017 som medfører kostnader og omstilling frem mot overgang til nye lokaler og nye arbeidsmåter ved utgangen,starte,på,project,project,agentive_project,,,,,,,,,,
"Mange barn starter på tre hjul, går gjerne over til fire - og ender",starte,på,ride,on three wheels,other,,,,,,,,,,
"Bente startet på cellegift i fjor sommer, og hadde sin forrige behandlingsrunde",starte,på,undergo,chemiotherapy,telic,,,,,,,,,,
"Han startet på engelsk, som så mange andre.",starte,på,attend,course,telic,,,,,,,,,,
Moe startet på hovedfaget sam tidig som tilbudet ble opprettet i Tromsø,starte,på,attend,course,telic,,,,,,,,,,
"De startet på prosjektet i 2008, og er fortsatt levende opptatt av å få publisert lokal historie fra Harstad kommu ne.",starte,på,project,project,agentive_project,,,,,,,,,,
Vi starter med en tabell hvor formålet har vært å bruke klasser av oppholdskvoter grunnlag for segmentering.,starte,med,,table,other,,,,,,,,,,
Vi starter med en del spørsmål om kommunens formelle politiske organisering.,starte,med,answer,question,telic,,,,,,,,,,
"Man starter med en teori og begrep på en relativt apen og drøftende måte, som en veiledning for forskningen, og utvikler relevans og presisjon underveis i forskningsprosessen.",starte,med,develop,theory,agentive,,,,,,,,,,
Vi starter med en enkel versjon av modellen basert på restriktive forutsetninger.,starte,med,use,version,telic,,,,,,,,,,
Odde Kjensteberg startet med butikk som riktig ung.,starte,med,work?,company,agentive,,,,,,,,,,
Vi starter med sikkerhetskurset.,starte,med,attend,course,telic,,,,,,,,,,
Vi starter med en figur som angir antall fisk i ulike størrelsesgrupper.,starte,med,analyze ,figure,other,,,,,,,,,,
Vi starter med et spørsmål fra REFLEXundersøkelsen som i noen grad er sammenliknbart med spørsmålene i kandidatundersøkelsen 2007 som gjaldt grad av fornøydhet med utdanningen og lærestedet ( figur 1 og 2 ) .,starte,med,answer,question,telic,,,,,,,,,,
"Jeg starter med noen spørsmål om syn, hørsel og førlighet.",starte,med,ask,question,agentive,,,,,,,,,,
Vi starter imidlertid med tre spørsmål av mer generell karakter.,starte,med,ask,question,agentive,,,,,,,,,,
Vi starter med spørsmål 0 m... være nøye med å føre over de administrative opplysningene fra side 1 og 2 til det nye skjemaet.,starte,med,answer,question,telic,,,,,,,,,,
Vi startet med Internet 26. februar og i løpet av denne måneden har ca. 7.000 kunder vært inne på sidene våre.,starte,med,use,internet,telic,,,,,,,,,,
Vi starter med noen ord om begrepet bortvalg og om ulike teoretiske tilnærminger for å forklare utdanningsvalg.,starte,med,say,words,agentive,,,,,,,,,,
"Vi starter med det minste prosjektet, K, .",starte,med,project,project,agentive_project,,,,,,,,,,
Vi starter med det minste prosjektet.,starte,med,project,project,agentive_project,,,,,,,,,,
"Jeg startet med dette prosjektet som hadde arbeidstittelen "" Ungdomskultur og lokal identitet i Brumunddal "" oktober",starte,med,project,project,agentive_project,,,,,,,,,,
"Jeg starter med det danske innlegget, for så vidt har lagt til grunn for mitt foredrag her, understrekes det at når man tar vekk enkelte fordeler som spesielt favoriserer yrkesskader, så må man på den annen side gjøre visse forbedringer i det normale trygdesystem.",starte,med,use,the post,telic,,,,,,,,,,
"Vi starter med det minste prosjektet, K1.",starte,med,project,project,agentive_project,,,,,,,,,,
• EJTN startet med et pilotprosjekt i 2004/2005 og mottok deretter støtte fra EU-kommisjonen til videre utbygging.,starte,med,project,project,agentive_project,,,,,,,,,,
Jeg startet med et tema som jeg syntes var interessant.,starte,med,discuss,topic,other,,,,,,,,,,
"Jeg startet derfor med noen åpne spørsmål for å gi informanten mulighet til å presentere sin forståelse av temaet og sine historier, uten for mange føringer fra min side ( Charmaz, 2006 ) .",starte,med,ask,question,agentive,,,,,,,,,,
Man starter gjerne med et Skisseprosjekt og / eller et forprosjekt som vil beskrive en problemstilling og ulike metoder for å komme fram til en ønsket løsning.,starte,med,project,project,agentive_project,,,,,,,,,,
Vi starter med to eksempler som berører Finansdepartementet ( FIN ) og ser deretter på Helse- og omsorgsdepartementet ( HOD ) .,starte,med,do,example,telic,,,,,,,,,,
Vi starter med et spørsmål om helse.,starte,med,ask,question,agentive,,,,,,,,,,
Jeg starter med noen spørsmål om ekteskapelig status og den husholdningen du tilhører.,starte,med,ask,question,agentive,,,,,,,,,,
Vi starter med noen spørsmål om selv og den husholdningen tilhorer. .,starte,med,ask,question,agentive,,,,,,,,,,
Vi starter med noen spørsmål om cannabis.,starte,med,ask,question,agentive,,,,,,,,,,
Vi starter med noen spørsmål om< navn> .,starte,med,ask,question,agentive,,,,,,,,,,
Vi starter med noen få spørsmål om husholdningen din.,starte,med,ask,question,agentive,,,,,,,,,,
Vi starter med PowerPoint som er utarbeidet til samlingen.,starte,med,use,powerpoint,telic,,,,,,,,,,
"- Jeg startet såpass sent med sang, så selvtilliten på dette området har også kommet sent.",starte,med,sing,song,agentive,,,,,,,,,,
"Vi starter først med de banene som ikke har sikringssystem, sier Gorm Frimannslund, konsernsjef i Bane Nor ( tidligere Jernbaneverket ) , til VG.",starte,med,install,new system at the railway ,other,,,,,,,,,,
"Sauar startet med datamaskiner på gutterommet på Sørlandet, 17 år gammel.",starte,med,use,computers,telic,,,,,,,,,,
"Mange startet bare med en enkel snippeske, men bærer nå på tepper, soveposer og tykke klær for å holde seg varme i de lavere temperaturene nord i Mexico.",starte,med,use,duffel bag,telic,,,,,,,,,,
"Vi startet med neper i sist uke, sier Undem, som er en av de større produsentene av frilandsgrønnsaker på Jæren.",starte,med,coltivare,turnips ,other,,,,,,,,,,
"Vi starter med et glass champagne og skåler i en overraskende tam R de Ruinart, som virker som den ble åpnet noen dager i forveien.",starte,med,drink,drinks,telic,,,,,,,,,,
"Jeg startet med aprikos som prøveprosjekt, etter å ha sett hvordan de lykkes i det nordlige Italia der klimaet ikke er ulikt vårt.",starte,med,coltivare,apricots,other,,,,,,,,,,
Johann den første startet med vin,starte,med,produce,wine,agentive,,,,,,,,,,
Vi starter med et nyskrevet essay av Geir Gulliksen ( side 28 ) og en samtale med Richard Sennett ( denne side ) .,starte,med,read,essay,telic!,,,,,,,,,,
Vi starter med en shot i kveld.,starte,med,drink,drinks,telic,,,,,,,,,,
Stein Rønning startet med karate,starte,med,practice,karate,telic,,,,,,,,,,
"Vi startet med et sitat fra Bagdads feminister, la oss avslutte med noen advarende ord fra Kairo i 1952, der unge offiserer veltet monarkiet og lovte folket demokrati.",starte,med,say,citation,agentive,,,,,,,,,,
"- Jeg starter gjerne med de enkle, hvite, - vaniljeis eller krokan, og arbeider meg igjennom reportoaret i løpet av dagen, sier Harri son.",starte,med,eat,food,telic,,,,,,,,,,
Kommandittselskapet Ullensaker Boligbygg starter så smått med seks eneboliger langs det som i dag er veien fram til travbanen og dyrekli nikken på Nordbymoen.,starte,med,build,apartments,agentive,,,,,,,,,,
"han startet med kaffe ved tretiden og leste til halvsyv, hvoretter apostlenes hester brakte ham de sy v kilometrene til skolen.",starte,med,drink,coffee,telic,,,,,,,,,,
"Fotballfesten starter med allsang til « En blå dag » , framført av Frode Rønli fra Stavangerensemblet, som også skal framføre den legendaris ke Liverpool-hymnen, « You'll Never Walk Alone » .",starte,med,sing,song,agentive,,,,,,,,,,
Vi startet med sangen :,starte,med,sing,song,agentive,,,,,,,,,,
Du starter med en liten ball som små objekter kan feste seg til når du ruller rundt.,starte,med,use,ball,telic,,,,,,,,,,
Vi starter med teaterkurs på Kolmyr skole 12. oktober.,starte,med,attend,course,telic,,,,,,,,,,
Vi startet med et par sitater.,starte,med,say,citation,agentive,,,,,,,,,,
- De startet gjerne med data maskinen da de var sju år gam mel.,starte,med,use,computer,telic,,,,,,,,,,
"- Vi starter da med første hovedspørsmål, fra representanten Olav Gunnar Ballo.",starte,med,answer,question,telic,,,,,,,,,,
Jeg starter med et enkelt eksempel på bankinnskuddets skattemessige skjebne.,starte,med,say,example,agentive,,,,,,,,,,
"Vi startet med mat, men hvorfor skal man f.eks. betale halv moms på potetgull og hel moms på barneklær?",starte,med,reduce ,VAT in food,other,,,,,,,,,,
"- Vi starter da med det første hovedspørsmålet, fra representanten Karl Eirik Schjøtt-Pedersen.",starte,med,answer,question,telic,,,,,,,,,,
"De som ranet NOKAS i Stavanger og drepte en høyt ansett politimann, startet sannsynligvis med langt mindre alvorlig kriminalitet.",starte,med,do,criminal actions,telic,,,,,,,,,,
"Jeg starter med SND, som har en meget viktig rolle.",starte,med,discuss,about SND,other,,,,,,,,,,
Bjugn startet med 9-årig ungomsskole i 1965 og de første elevene tok eksamen,starte,med,attend,skole,telic,,,,,,,,,,
De startet med nefrologi og har siden lagt til over tjue andre spesialiteter.,starte,med,introduce,nefrology service,other,,,,,,,,,,
Utviklerne startet GhostBSD-prosjektet i 2010 etter at de møttes i det offisielle FreeBSD-forumet.,starte,NOUN,project,project,agentive_project,,,,,,,,,,
"Departementet og Grunnskolerådet starter prosjektet Ledelse i skolen, LIS, fra årets begynnelse.",starte,NOUN,project,project,agentive_project,,,,,,,,,,
Politistasjonssjef Bjørn Åge Hansen starter brevet med å rose egne mannskaper for innsatsen da bomben gikk av i Regjeringskvartalet i Oslo.,starte,NOUN,write,letter,agentive,,,,,,,,,,
"ABM-utvikling startet prosjektet "" Museum og forskning "" sammen med Norsk kulturråd i 2009.",starte,NOUN,project,project,agentive_project,,,,,,,,,,
ID 1025686639361705 Tekst-ID Elever og lærl startet grunnkurs for fem år siden,starte,NOUN,attend,course,telic,,,,,,,,,,
"Barne- og likestillingsdepartementet startet prosjektet i mai 2016 med fem prøvenemnder, blandt andre nemnda i Hordaland / Sogn og Fjordane, og hadde følgende ambisiøse målsetning : 1. Bringe partene sammen for kartlegging av faktiske forhold.",starte,NOUN,project,project,agentive_project,,,,,,,,,,
"Kredittilsynet har ut fra sitt ansvar i begynnelsen av år 2000 startet prosjektet "" Risiko- og sårbarhetsanalyse av finansnæringens IT-infrastruktur "" .",starte,NOUN,project,project,agentive_project,,,,,,,,,,
"Lunga og kolleger startet prosjektet "" Langvandring på pilgrimsvei "" som et ledd i det forebyggende helsearbeidet.",starte,NOUN,project,project,agentive_project,,,,,,,,,,
Universitetet i Oslo startet programmet for utvikling av systemer for helseinformasjon midt på 1990­tallet.,starte,NOUN,offer,program,other,,,,,,,,,,
"Fylkesmannen startet prosjekt "" Kom og bli "" som skulle hjelpe på rekruttering til kommuner, der også GNIST og oppfølging av ungdom og utdanning ble tatt inn som et element.",starte,NOUN,project,project,agentive_project,,,,,,,,,,
"Elever og lærl startet grunnkurs for fem år siden, foreldre m vgutd",starte,NOUN,attend,course,telic,,,,,,,,,,
"Hermansen startet balladen da han skrev til Jens Stoltenberg i fjor og ba ham gjøre « Ja, vi elsker » til offisiell nasjonalsang.",starte,NOUN,write,ballad,agentive,,,,,,,,,,
Tamara Maria Kler ( født Tamara Hunkeler ) startet prosjektet Dinka i 2007.,starte,NOUN,project,project,agentive_project,,,,,,,,,,
Begrström starter årets bok med en dedikasjon :,starte,NOUN,write,book,agentive,,,,,,,,,,
Rektor fra Knaus startet svaret sitt med å trekke fram trygghet som essensielt for læring.,starte,NOUN,answer,answer,telic,,,,,,,,,,
"Universitetssykehuset i Nord-Norge ( Tromsø ) og St.Olavs hospital ( Trondheim ) startet prosjektet i 2012, mens Oslo Universitetssykehus og Lovisenberg Diakonale Sykehus ( Oslo ) startet i 2014 og Haukeland Universitetssykehus i 2015.",starte,NOUN,project,project,agentive_project,,,,,,,,,,
Salem menighet startet prosjektet med bakgrunn i et stort innslag av barn og unge som oppholdt seg på og rundt Trondheim Torg.,starte,NOUN,project,project,agentive_project,,,,,,,,,,
"Lahlum starter kronikken med å kritisere både de som svarer ja og nei på spørsmålet, for mangel på nyanser og kunnskap.",starte,NOUN,write,article,agentive,,,,,,,,,,
Den tidligere Lyn-spilleren startet skolen da han måtte gi opp sin egen fotballkarriere på grunn av skade.,starte,NOUN,attend,skole,telic,,,,,,,,,,
"Olav Refsdal startet prosjektet og var prosjektleder i perioden fra høsten 1993 fram til sommeren 1994, da han sluttet på NIBR.",starte,NOUN,project,project,agentive_project,,,,,,,,,,
Forskerne ved Arboretet i Bergen startet prosjektet 7. juni.,starte,NOUN,project,project,agentive_project,,,,,,,,,,
"Vegtilsynet startet prosjektet « Regelverk på veg » i 2018, og det ble fullført i tredje tertial 2019.",starte,NOUN,project,project,agentive_project,,,,,,,,,,
"Erichsrud startet listen i august i fjor, og den dekker kutt som er annonsert fra og med 1. januar 2014.",starte,NOUN,create,list,agentive,,,,,,,,,,
18 kandidater startet kurset.,starte,NOUN,attend,course,telic,,,,,,,,,,
"Grytten starter historien med et av de desiderte høydepunktene i bandets karriere : en spektakulær serie konserter i New York våren l98l, og avslutter med begynnelsen, - noen unge menn som finner hverandre i punkens spede barndom i London en gang rundt midten av 1970-tallet og begynner å øve sammen.",starte,NOUN,write,story,agentive,,,,,,,,,,
Unger med mindre utviklet språk starter skolen med handicap.,starte,NOUN,attend,skole,telic,,,,,,,,,,
"Programleder Fredrik Solvang startet programmet med å opplyse om at norske medier har skrevet over 1000 saker om prinsessen og hennes kjæreste, sjamanen Durek Verrett, siden de sto frem som kjærester for 11 dager siden.",starte,NOUN,attend,program,telic,,,,,,,,,,
NRK starter programmet med å sammenligne Instagram-profilene deres.,starte,NOUN,offer,program,other,,,,,,,,,,
forskningsrådet starter nytt stort program for energi­ forskning Hydrogen / brensel­ cellebiler blir tilgjeng elige i markedet åpning av ny kabel forbindelse til danmark med kapasitet 700MW åpning av ny kabelforbindelse til tyskland med kapasitet 1400 MW ny nasjonal transport plan skal dekke perioden 2014 ­,starte,NOUN,offer,program,other,,,,,,,,,,
"Stovner startet prosjektet våren 2006, mens de øvrige bydelene startet opp våren 2007.",starte,NOUN,project,project,agentive_project,,,,,,,,,,
"Jeremie Miller startet prosjektet i 1998, og det første offentlige programslippet skjedde i mai 2000.",starte,NOUN,project,project,agentive_project,,,,,,,,,,
Alle pasienter starter modellen i pre-FTC.,starte,NOUN,use,model,telic,,,,,,,,,,
"Ole Gunnar startet prosjektet, mens Tor Ole har tatt det videre.",starte,NOUN,project,project,agentive_project,,,,,,,,,,
Døgnavdelingene startet prosjektet 24.1.2013.,starte,NOUN,project,project,agentive_project,,,,,,,,,,
Mange barn starter skolen med stor motivasjon og store forventninger til å lære å lese.,starte,NOUN,attend,school,telic,,,,,,,,,,
Skribenten og samfunnsdebattanten startet Facebook-innlegget med å sitere programleder Ingunn Solheim :,starte,NOUN,wirte,post,agentive,,,,,,,,,,
"Fugelli startet prosjektet som forsker, men endte opp med å fullføre det som pasient.",starte,NOUN,project,project,agentive_project,,,,,,,,,,
"Direktoratet startet derfor prosjektet « Regelverk i praksis » i 2014, hvor formålet er å øke regelverksetterlevelsen.",starte,NOUN,project,project,agentive_project,,,,,,,,,,
"- Prosjekteier, normalt leder av Infrastrukturdivisjonen, starter prosjektet og godkjenner sluttrapport.",starte,NOUN,project,project,agentive_project,,,,,,,,,,
"Bradford startet dyreparkens elefantprogram med et enkelt dyr på 1970-tallet, og har i tillegg vært mentor for mange barn som er interessert i dyreparken og dyrehold.",starte,NOUN,offer,program,other,,,,,,,,,,
"Teater Manu startet prosjektet « Manu Stjerneskudd » som er et toårig talentutviklingsprogram for døve ungdommer, som ønsker å prøve seg i skuespillerfaget.",starte,NOUN,project,project,agentive_project,,,,,,,,,,
"Ap startet reformen, stemte for den, og har deretter brukt hver eneste dag på å spenne bein på den.",starte,NOUN,do,reforms,telic,,,,,,,,,,
Faren i familien startet skolen bare ved å fylle ut en utdannelseserklæring som sier at barna hans får hjemmeundervisning på fulltid.,starte,NOUN,attend,school,telic,,,,,,,,,,
"Dette fordi VM i 2011 også startet prosjektet « Kartlegging av biologisk mangfold i Melhus kommune 2011 - 2012 » , med støtte fra kommunen, der kartlegging av den utvalgte naturtypen slåttemyr utgjorde en viktig del.",starte,NOUN,project,project,agentive_project,,,,,,,,,,
"Helsedirektoratet startet prosjekt "" prehospital strategisk satsing "" i 2014.",starte,NOUN,project,project,agentive_project,,,,,,,,,,
"26-åringen startet selv prosjektet, men rakk aldri å fullføre.",starte,NOUN,project,project,agentive_project,,,,,,,,,,
Regjeringen starter også prosjektet som er et samarbeid med Kunnskapsdepartementet om å styrke natur- og miljøfagene i grunnskolen.,starte,NOUN,project,project,agentive_project,,,,,,,,,,
"Skaperen, Markus Hohenwarter, startet prosjektet i 2001 ved Paris-Lodron-Universität Salzburg og fortsetter med det ved Florida Atlantic University.",starte,NOUN,project,project,agentive_project,,,,,,,,,,
"Det Mosaiske Trossamfund i Oslo startet prosjektet med støtte fra regjeringen i 2015, og regjeringen vil støtte Jødiske veivisere videre.",starte,NOUN,project,project,agentive_project,,,,,,,,,,
Forskningsleder Anne Sæterdal startet prosjektet og var leder første 1/2 år.,starte,NOUN,project,project,agentive_project,,,,,,,,,,
"FASB startet prosjektet med å utvikle et konseptuelt rammeverk i 1973, allerede samme år som det ble etablert for å erstatte Accounting Principles Board ( APB ) .",starte,NOUN,project,project,agentive_project,,,,,,,,,,
Sveitseren ( 1778 - 1841 ) startet tidsskriftserien.,starte,NOUN,produce,magazine series,agentive,,,,,,,,,,
"Religionshistoriker og lldsjel Eivind Luthen startet prosjektet, pluss alt arbeidet med den originale pilegrimsleden Tønsberg –Trondheim.",starte,NOUN,project,project,agentive_project,,,,,,,,,,
"Forkynneren starter boken sprudlende med stadfestelsen i 1,2 :",starte,NOUN,write,book,agentive,,,,,,,,,,
NLR Østafjells starter prosjekt Jordkarbon.,starte,NOUN,project,project,agentive_project,,,,,,,,,,
NITO startet derfor prosjektet Teknologi i skolen for ti år siden.,starte,NOUN,project,project,agentive_project,,,,,,,,,,
FMFA startet prosjektet « Etablering av internkontroll for informasjonssikkerhet » i januar 2019 ved bruk av Difis forklaringsmodell og praktiske veileder.,starte,NOUN,project,project,agentive_project,,,,,,,,,,
"- 1,34 Pasientene starter modellen i pre-FTC og behandling med memantin antas avsluttet når de når FTC.",starte,NOUN,use,model,telic,,,,,,,,,,
"Direktoratet for Naturforvaltning startet prosjektet i 1996, som var et ledd i arbeidet med å legge om til en mer lokal vilt- og fiskeforvaltning.",starte,NOUN,project,project,agentive_project,,,,,,,,,,
Avisa starter artikkelen med å bemerke at det er mange dansker som ikke forstår Solbakken.,starte,NOUN,write,article,agentive,,,,,,,,,,
SPK startet prosjektet med å utvikle en modell for kontinuerlig forbedring av tekstporteføljen.,starte,NOUN,project,project,agentive_project,,,,,,,,,,
"Pixy Yijun Liao startet prosjektet etter hun begynte å date den fem år yngre japanske musikeren, Moro.",starte,NOUN,project,project,agentive_project,,,,,,,,,,
To studenter startet kurset etter opptak til mastergrad i andre fagfelt.,starte,NOUN,attend,course,telic,,,,,,,,,,
"Terje P. Hagen startet prosjektet, og har vært prosjektleder fram til avslutningen.",starte,NOUN,project,project,agentive_project,,,,,,,,,,
"Telemark fylkeskommune startet prosjektet "" Bedre offentlig saksbehandling "" høsten 1995, jf. Byggforsk prosjektrapport 277 - 2000.",starte,NOUN,project,project,agentive_project,,,,,,,,,,
En gruppe ledet av professor Paulo Sérgio Pinheiro startet prosjektet i 2001.,starte,NOUN,project,project,agentive_project,,,,,,,,,,
"Goethe startet manuset om « Wilhelm Meister » allerede i 1777, da under tittelen ''Wilhelm Meisters theatralische Sendung'' ( som ble gjenoppdaget i 1911 ) .",starte,NOUN,write,manuskript?,agentive,,,,,,,,,,
Den London-baserte frilansjournalisten og historikeren startet prosjektet som en fargespalte i Elle Decoration i 2013.,starte,NOUN,project,project,agentive_project,,,,,,,,,,
"Jeg startet eternarkosen, og så overtok Flora.",starte,NOUN,give,anesthesia,other,,,,,,,,,,
"Jeg startet avsnitt 5.4 med å estimere en 8 på grunnlag av hele observasjonsmaterialet og fant at 8 ble estimert til nan, gitt at parameteren apriori skulle ligge i intervallet [ o, © © ) .",starte,NOUN,write,section,agentive,,,,,,,,,,
Vi starter derfor rapporten med noen korte teoretiske betraktninger om deltid som tilpasning i arbeidsmarkedet ( kapittel 2 ) .,starte,NOUN,writesay,report,agentive,,,,,,,,,,
Helsedirektoratet startet prosjektet,starte,NOUN,project,project,agentive_project,,,,,,,,,,
Vi startet kapittelet med å trekke fram begrepet relativ integrasjon.,starte,NOUN,present,chapter,other,,,,,,,,,,
Vi startet kapitlet med å stille to spørsmål :,starte,NOUN,present,chapter,other,,,,,,,,,,
Justisdepartementet har i 1999 startet prosjekt for videre utvikling av voldsforebyggende tjenesteformer innen siviltjenesten.,starte,NOUN,project,project,agentive_project,,,,,,,,,,
"– Vi startet prosjektet med en heftig debatt om problemstillingene fra Bioteknologirådet, hvor elevene fikk utdelt roller hvor de enten skulle være veldig for, eller kraftig imot.",starte,NOUN,project,project,agentive_project,,,,,,,,,,
Før dere starta prosjektet tenkte dere på hvilke type bygg dere ønsket dere?,starte,NOUN,project,project,agentive_project,,,,,,,,,,
Vi startet derfor prosjektet med å involvere pedagogene tidlig i prosessen ved å sette av tid til refleksjon og dialog om tema knyttet til lærernes konkrete praksis og som for de representerte aktiviteter og utfordringer som burde utvikles eller løses.,starte,NOUN,project,project,agentive_project,,,,,,,,,,
Vi starter kapitlet med en gjennomgang av sentrale forutsetninger med en drøfting av de metodiske valgene som er gjort før vi presenterer den samfunnsøkonomiske analysen av prissatte virkninger.,starte,NOUN,analyse,chapter,other,,,,,,,,,,
"Norge, startet vindtunnel på Voss.",starte,NOUN,build,tunnel,agentive,,,,,,,,,,
Den London-baserte frilansjournalisten og historikeren startet prosjektet som en fargespalte i Elle Decoration,starte,NOUN,project,project,agentive_project,,,,,,,,,,
"- Vi startet prosjektet fordi vi ønsket å tilføye farge til Møllenberg, og samtidig skape en miljøbevisst festival som finnes et sted midt i miljødebatten, forteller festivalsjefen.",starte,NOUN,project,project,agentive_project,,,,,,,,,,
"- Vi startet prosjektet før den voldsomme flyktningstrømmen til Norge, men en slik bok blir mer viktig enn noensinne.",starte,NOUN,project,project,agentive_project,,,,,,,,,,
"Da de startet prosjektet for nesten ti år siden, så de på mange ulike metoder.",starte,NOUN,project,project,agentive_project,,,,,,,,,,
"Hun starter historien i 1983 med drapet på skjønnhetsdronningen Bobbi Lomax, som er sprengt i fillebiter av en bombe på sin egen plen, før vi blir tatt med til i en merkelig religiøs småby et sted i Idaho i den amerikanske Midtvesten.",starte,NOUN,tell,story,telic,,,,,,,,,,
"Furu Ungdomslag starter gammeldanskurs på Furu haug, Ra, mandag 20. oktober.",starte,NOUN,attend,course,telic,,,,,,,,,,
"Maxweil startet norskkurset for to måneder siden, og beher sker allerede norsk svært godt.",starte,NOUN,attend,course,telic,,,,,,,,,,
Rikshospitalet startet kurser for laboratorieteknikere ved sitt Sentrallaboratorium,starte,NOUN,propose,course,other,,,,,,,,,,
Vi starta prosjektet med forventningar om at det ville vere eit breitt og aktivt engasjementet rundt utkantbutikken.,starte,NOUN,project,project,agentive_project,,,,,,,,,,
Vi starter derfor kapittelet med å undersøke om elever og lærere etter tre år med arbeidslivsfaget opplever at faget har vært praktisk.,starte,NOUN,analyze,chapter,other,,,,,,,,,,
"Hovland startet de første to hullene på søndagens avsluttende runde på par, før han fikk en birdie på sitt 3. hull, men bogey på det 4. hullet ødela den flotte starten.",starte,NOUN,play,hole (golf),agentive,,,,,,,,,,
"Forskere ved UiT starter nå et prosjekt om fysisk aktivitet og hvilken effekt det har på hjertet med data fra Tromsøundersøkelsen, og finansiert av Helse Nord.",starte,NOUN,project,project,agentive_project,,,,,,,,,,
Waabenø startet en engelskspråklig bibelklasse i Taipei sommeren 1951.,starte,NOUN,attend,course,telic,,,,,,,,,,
Bydel Grefsen Kjelsås startet et prosjekt som heter « Nye skoler som åpne flerbrukssentra » .,starte,NOUN,project,project,agentive_project,,,,,,,,,,
"Ross Ihaka og Robert Gentleman fra New Zealand startet et prosjekt på 1990-tallet med å skrive om S og utvikle det objektorienterte språket R, en dialekt av S.",starte,NOUN,project,project,agentive_project,,,,,,,,,,
Apparatjik startet et nytt prosjekt kalt agreeneryouniverse 11. februar 2011.,starte,NOUN,project,project,agentive_project,,,,,,,,,,
"Storbritannia og Frankrike startet et felles prosjekt kalt AFVG ( ''Anglo French Variable Geometry'' ) i 1965, men franskmennene trakk seg ut av dette i 1967.",starte,NOUN,project,project,agentive_project,,,,,,,,,,
Trude Drevland starter denne historien med dens foreløpig dramatiske høydepunkt :,starte,NOUN,write,story,agentive,,,,,,,,,,
"Direktoratet startet et prosjekt kalt "" Klart språk i Sjøfartsdirektoratet "" i 2010.",starte,NOUN,project,project,agentive_project,,,,,,,,,,
"NTNU starter nå et nytt prosjekt, også i Oslo og Bergen er mentorprosjekter i startfasen.",starte,NOUN,project,project,agentive_project,,,,,,,,,,
"En styrtrik bonde på Island, Jon Håkonsson, startet det kostbare prosjektet med å skape Flatøyboka sammen med øyas ledende prester.",starte,NOUN,project,project,agentive_project,,,,,,,,,,
"OLF har som en oppfølging av dette initiativet startet et prosjekt hvis målsetning er å redusere antall lekkasjer> 0,1 kg / s med 50 % innen utgangen av 2005 ( målt mot gjennomsnittet i perioden 2000 - 2002 ) .",starte,NOUN,project,project,agentive_project,,,,,,,,,,
Forsvaret starter et prosjekt i 2019 – delvis grunnet egne behov Det jobbes videre med utvikling av samarbeid for • Politi • Forsvar • Helsedirektoratet • DSB • Kartverket Presentasjon v /Lars Mardal Informasjon fra Geovekst Ledning Arbeidsgruppe( GLA ),starte,NOUN,project,project,agentive_project,,,,,,,,,,
HÅVARD MYKLEBUST startet dette OL-prosjektet med å sette et mål som kunne gi 10 prosent flere norske medaljer.,starte,NOUN,project,project,agentive_project,,,,,,,,,,
Fræna kommune startet opprinnelig et prosjekt med utvikling av « leie før eie konsept » i 2008 / 2009 med kompetansemidler fra Husbanken.,starte,NOUN,project,project,agentive_project,,,,,,,,,,
"Selvik startet det musikalske prosjektet Warduna i 2003, hvor han lager musikk basert på runer, gamle vikinginstrumenter og tekster på norsk, gammelnorsk og norrønt.",starte,NOUN,project,project,agentive_project,,,,,,,,,,
Marie startet derfor et hacking-prosjekt for å finne ut av sikkerheten i sin egen personlige kritiske infrastruktur.,starte,NOUN,project,project,agentive_project,,,,,,,,,,
Konkurransedirektør Christine Meyer og Næringsminister Monica Mæland starter sammen et prosjekt for å undersøke om de store nettportalene handler i strid med norsk konkurranselov ( se faktaboks ) .,starte,NOUN,project,project,agentive_project,,,,,,,,,,
"Dahl startet også et hovedfagsseminar som het ''formelle metoder'' , som utviklet seg til et kurs i programspesifikasjon og -verifikasjon.",starte,NOUN,attend,seminar,telic,,,,,,,,,,
Lennon starter hvert vers alene med « it's been a » før McCartney blir med.,starte,NOUN,say,verse,agentive,,,,,,,,,,
Vassdragstilsynet startet blant annet et prosjekt med etterkontroll av fundamentforholdene ved de høyeste slanke hvelvdammene for å sikre seg mot at noe lignende skulle skje i Norge.,starte,NOUN,project,project,agentive_project,,,,,,,,,,
Leserne starter gjerne en tekst fra flere innganger og hopper underveis i lesingen.,starte,NOUN,read,text,telic!,,,,,,,,,,
